Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	RollBegin	RollEnd	longMult	shortMult	TradeDir	longMult	shortMult	longShort	long	short	IBRoot	IBExch	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	longShort	longOnly	shortOnly	Note
N	3122	2-year Swedish @PMI	[001001001001]	1	0.01%	09:15	17:20	8		SLA Comdty		12:00		12	Vwap	10	09:20	11:20	09:20	11:20	0	0	0									N	N	N	N	N		N				
N	3124	5-year China Govt Bond@CFF	[001001001001]	1	0.01%	09:10	15:15	8		TFCA Comdty		12:00		12	Vwap	10	09:15	11:15	09:15	11:15	0	0	0									N	N	N	N	N		N				
Y	3201	USD Index@FNX	[001001001001]	1	0.01%	20:00	18:00	8	15:00	DXA Curncy	DX	12:00	12:00	20	Vwap	10	20:05	22:05	20:05	22:05	1.6	0	0	1.1	1.75	Y	Y	Y	DX	NYBOT		Y	Y	Y	Y	Y		Y	1.1	1.1	1.85	"long sr 3.5, short sr 1.55"
Y	3202	EUR/GBP@CME	[001001001001]	1	0.01%	17:05	16:00	8	14:00	RPA Curncy	RP	12:00	14:00	40	Vwap	30	19:05	22:05	19:05	22:05	1.8	0	1	1.9		N	Y	N	RP	GLOBEX	17:00	Y	Y	N	Y	N		N	1.9	1.9		long sr 1.5
N	3203	EUR/JPY@CME	[001001001001]	1	0.01%	17:05	16:00	8	14:00	RYA Curncy	RY	12:00	14:00	40	Vwap	30	19:05	22:05	19:05	22:05	0	0	1	0.85		N	Y	N	RY	GLOBEX		Y	Y	N	Y	N		N	1.5	0.85	1.45	ls sr 1.5; long sr 1.4; short sr 1
N	3204	EUR/CHF@CME	[001001001001]	1	0.01%	17:05	16:00	8	14:00	RFA Curncy	RF	12:00	14:00	40	Vwap	30	19:05	22:05	19:05	22:05	0	0	1	1.9		N	Y	N	RF	GLOBEX		Y	Y	N	N	N		N	1.9	1.9		short not work
Y	3205	JPY/USD@CME	[001001001001]	1	0.01%	17:05	16:00	8	14:00	JYA Curncy	JY	12:00	14:00	20	Vwap	10	19:05	21:05	19:05	21:05	1.1	0.5	0	1.1	1.2	Y	Y	Y	JPY	GLOBEX		Y	Y	Y	Y	Y		Y	1.1	1.1	1.2	long sr 1.8; short sr 2.3; 
Y	3206	EUR/USD@CME	[001001001001]	1	0.01%	17:05	16:00	8	14:00	ECA Curncy	URO	12:00	12:30	20	Vwap	10	19:05	21:05	19:05	21:05	1.45	1.25	0	1.6	1.45	Y	Y	Y	EUR	GLOBEX	17:00	Y	Y	Y	Y	Y		Y	1.25	1.6	1.45	
Y	3207	GBP/USD@CME	[001001001001]	1	0.01%	17:05	16:00	8	14:00	BPA Curncy	BP	12:00	14:00	20	Vwap	10	19:05	21:05	19:05	21:05	0	1.1	0	0.9	0.6	Y	Y	Y	GBP	GLOBEX	17:00	Y	Y	Y	Y	Y		Y	0.75	1.7	1.1	
Y	3208	AUD/USD@CME	[001001001001]	1	0.01%	17:05	16:00	8	14:00	ADA Curncy	AD	12:00	12:30	20	Vwap	10	19:05	21:05	19:05	21:05	1.8	1.55	0	0.9	1.25	Y	Y	Y	AUD	GLOBEX		Y	Y	Y	Y	Y		Y	1.45	1.75	1.25	
Y	3209	CAD/USD@CME	[001001001001]	1	0.01%	17:05	16:00	8	14:00	CDA Curncy	CD	12:00	12:30	20	Vwap	10	19:05	21:05	19:05	21:05	1.15	1.45	-1		0.85	N	N	Y	CAD	GLOBEX		Y	Y	Y	Y	Y		Y	0.9		0.9	short sr 3.5
Y	3210	MXN/USD@CME	[001001001001]	1	0.01%	17:05	16:00	8	14:00	PEA Curncy	MP	12:00	12:30	20	Vwap	10	19:05	21:05	19:05	21:05	1	0.7	0	1.6	0.6	Y	Y	Y	MXP	GLOBEX		Y	Y	N	N	N		N	0.7	1.6	0.6	
N	3211	CHF/USD@CME	[001001001001]	1	0.01%	17:05	16:00	8	14:00	SFA Curncy	SF	12:00	14:00	20	Vwap	10	19:05	21:05	19:05	21:05	0	0	-1		1.9	N	N	Y	CHF	GLOBEX	17:00	Y	Y	Y	Y	Y		Y				
