Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	RollBegin	RollEnd	longMult	shortMult	TradeDir	longMult	shortMult	longShort	long	short	IBRoot	IBExch	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	longShort	longOnly	shortOnly	Note
N	4207	Methanol @ZCE	[111111111111]	1	0.05%	21:00	15:00	8	15:00	ZMEA Comdty		12:00	15:00	20	Vwap	10	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
N	4208	Rubber@TCM	[111111111111]	1	0.05%	16:30	15:20	8	17:00	JNA Comdty	JRU	12:00	17:00	20	Vwap	10	09:45	10:45	09:45	10:45	0	0	0						TSR20	SGX		Y	Y	N	N	N		N				
N	4209	Polyvinyl Chloride@DCE	[101010001010]	1	0.05%	08:59	16:00	8	17:00	PVCA Comdty	DPV	12:00	17:00	20	Vwap	10	09:04	11:04	09:04	11:04	0	0	0									N	N	N	N	N		N				
N	4210	Lumber@CME	[101010101010]	1	0.05%	17:05	16:00	8	13:05	LBA Comdty	LB	12:00	13:05	20	Vwap	10	19:05	21:05	19:05	21:05	0	0	0						LB	GLOBEX		Y	Y	Y	Y	Y		Y				
N	4301	Silver @SHF	[111111111111]	1	0.05%	21:00	15:00	8		SAIA Comdty		12:00		20	Vwap	10	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
N	4302	Gold@SHF	[111111111111]	1	0.05%	21:00	15:00	8		AUAA Comdty		12:00		20	Vwap	10	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
Y	4303	Gold @CMX	[010101010001]	1	0.05%	18:05	17:00	8	13:30	GCA Comdty	GC	12:30	13:30	20	Vwap	10	19:05	21:05	19:05	21:05	0.85	0	0	0.85	0.8	Y	Y	Y	GC	NYMEX	08:20	Y	Y	Y	Y	Y		Y	0.8	0.85	0.8	ls sharpe 2.76; long sr 1.6; short sr 2.57
Y	4304	Silver @CMX	[001010101001]	1	0.05%	18:05	17:00	8	13:25	SIA Comdty	SI	12:30	13:25	20	Vwap	10	19:05	21:05	19:05	21:05	0.55	0	0		1.65	Y	Y	Y	SI	NYMEX	08:25	Y	Y	Y	Y	Y		Y			0.9	
N	4305	Gold@TCM	[010101010101]	1	0.05%	18:05	15:20	8		JGA Comdty	JAU	12:00		20	Vwap	10	09:45	10:45	09:45	10:45	0	0	0									N	N	N	N	N		N				
N	4306	Platinum@TCM	[010101010101]	1	0.05%	16:30	15:20	8		JAA Comdty	JPL	12:00		20	Vwap	10	09:45	10:45	09:45	10:45	0	0	0									N	N	N	N	N		N				
N	4307	Platinum@NYM	[100100100100]	1	0.05%	18:05	17:00	8	13:05	PLA Comdty	PL	12:00	13:05	20	Vwap	10	20:00	22:00	20:00	22:00	1.1	1.3	0						PL	NYMEX	08:20	Y	Y	Y	Y	Y		Y				
Y	4309	Palladium@NYM	[001001001001]	1	0.05%	18:05	17:00	8	13:00	PAA Comdty	PA	12:00	13:00	20	Vwap	10	20:00	22:00	20:00	22:00	1	0	0	1.5	1.5	Y	Y	Y	PA	NYMEX	08:30	Y	Y	Y	Y	Y		Y	1.6	1.6		
N	4314	Silver @TCM	[010101010101]	1	0.05%	16:30	15:20	8		JIA Comdty	JSV	12:00		12	Vwap	2	09:45	10:45	09:45	10:45	0	0	0									N	N	N	N	N		N				
N	4315	Palladium@TCM	[010101010101]	1	0.05%	16:30	15:20	8		JMA Comdty	JPA	12:00		12	Vwap	2	09:45	10:45	09:45	10:45	0	0	0									N	N	N	N	N		N				
